"title","genres","tmdb_id","overview","release_year"
"The Nightmare Before Christmas","Fantasy, Animation, Family",9479,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.","1993"
"The Flight Before Christmas","Animation, Family, Adventure, Drama, Fantasy",25741,"A reindeer boy named Niko dreams about flying like his father, whom he has never met. Despite constant mocking from others, he sneaks out of his home valley to take flying lessons from Julius, a flying squirrel.","2008"
"A Flintstone Christmas","Animation, TV Movie, Comedy, Family",26542,"Santa has an accident at Fred's house on Christmas Eve, Fred and Barney have to continue his run for him.","1977"
"Best. Christmas. Ever!","Comedy",987490,"After a twist of fate brings their families together for Christmas, Charlotte sets out to prove her old friend Jackie's life is too good to be true.","2023"
"Once Upon a Time at Christmas","Horror",489420,"In the twelve days leading up to Christmas, the residents of the snowy and isolated town of Woodridge are being murdered in a variety of gruesome ways by a psychotic Santa and Mrs. Claus. While the small-town cops scramble to protect the townsfolk, the killings seem to center around one young woman who may be the final victim on Santa's list. As the slaughter continues and the bodies pile up, it seems that nothing and no one may be able to stop the murderers before they complete their own deadly take on the twelve days of Christmas.","2017"
"A Christmas Carol","Animation, Family, Fantasy",17979,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.","2009"
"Arthur Christmas","Drama, Animation, Family, Comedy",51052,"Each Christmas, Santa and his vast army of highly trained elves produce gifts and distribute them around the world in one night. However, when one of 600 million children to receive a gift from Santa on Christmas Eve is missed, it is deemed ‘acceptable’ to all but one—Arthur. Arthur Claus is Santa’s misfit son who executes an unauthorised rookie mission to get the last present half way around the globe before dawn on Christmas morning.","2011"
"Merry Christmas, Mr. Lawrence","Drama, History, War",11948,"Island of Java, 1942, during World War II. British Major Jack Celliers arrives at a Japanese prison camp, run by the strict Captain Yonoi. Colonel John Lawrence, who has a profound knowledge of Japanese culture, and Sergeant Hara, brutal and simpleton, will witness the struggle of wills between two men from very different backgrounds who are tragically destined to clash.","1983"
"Catering Christmas","TV Movie, Comedy, Romance",961769,"A fledgling caterer, Molly Frost, is hired by Jean Harrison, the perfectionistic director of the renowned Harrison Foundation, to cater this year’s annual Christmas Gala dinner. Things get complicated when Molly falls for Jean’s nephew, Carson, 30s, a travel photographer with no desire to take over the family’s foundation… until his aunt assigns him to the task of making sure the catered dinner goes perfectly.","2022"
"A Brush with Christmas","TV Movie, Comedy, Drama, Romance",1032591,"Over the week leading up to Christmas in the town of Bayside, Charlotte tries to capture her own unique style in the local art scene while also helping her mother, run the family restaurant. Disheartened and struggling to find time for her art, Charlotte throws out her latest painting, only to discover that it has been anonymously submitted to the Christmas art festival. It turns out that Wyatt, a visiting artist, stumbled upon her discarded work and is now using the festival’s exposure to find its mysterious creator.","2022"
"How the Grinch Stole Christmas! Documentary","Animation, Documentary, Family, Fantasy",289179,"The making of the story of how a grumpy hermit hatches a plan to steal Christmas from the Whos of Whoville. You're a mean one, Mr. Grinch. Bitter and hateful, the Grinch is irritated at the thought of the nearby village having a happy time celebrating Christmas. So disguised as Santa Claus, with his dog made to look like a reindeer, he raids the village to steal all the Christmas things. The village is sure to have a sad Christmas this year.","1994"
"The Boss Baby: Christmas Bonus","Animation, Family, Adventure",1045944,"Christmas Eve takes a twisty turn when the Boss Baby accidentally swaps places with one of Santa's elves and gets stranded at the North Pole.","2022"
"All I Want for Christmas","Family, Drama, Comedy",13644,"Siblings Ethan and Hallie O'Fallon plot to get their divorced parents back together in time for Christmas.","1991"
"Teddy's Christmas","Family, Adventure, Fantasy",1020969,"Christmas peace falls over the small town, but at the Christmas market there's hectic activity. Mariann discovers a teddy bear at the top shelf. Is he alive? Mariann must get the teddy whatsoever. But Teddy wants to get to a rich family.","2022"
"My Christmas Hero","TV Movie, Drama, Romance",1114975,"Nicole Ramsey is dedicated to serving military service members and their families at the Joint Military Base in Lacey, Washington, home of I Corps and the 62nd Airlift Wing. This Christmas, with the help of many dedicated heroes, Dr. Ramsey is on a mission to honor a special fallen soldier and bring much needed healing to her own family.","2023"
"The Christmas Chronicles: Part Two","Family, Fantasy, Adventure, Comedy",654028,"Kate Pierce is reluctantly spending Christmas with her mom’s new boyfriend and his son Jack. But when the North Pole and Christmas are threatened to be destroyed, Kate and Jack are unexpectedly pulled into a new adventure with Santa Claus.","2020"
"Christmas Ringer","Music, Drama",1169010,"After her career is derailed by her manager-fiancé, the reigning Princess of Christmas and defuncted R&B singer retreats to her family's home for the holidays, where her mother convinces her to direct the family's ragtag church choir so they can win a Christmas Choir Competition.","2023"
"Your Christmas or Mine 2","Romance, Comedy",1176139,"They've swapped Christmas – again. Can Hayley and James' relationship survive another turbulent family Christmas or has their future together gone off-piste?!","2023"
"Fit for Christmas","TV Movie, Comedy, Romance, Drama",1033528,"A Christmas-obsessed fitness instructor begins a holiday romance with a mysterious businessman. The new relationship soon complicates his plans to turn a beleaguered community center into a financially profitable resort.","2022"
"Just Another Christmas","Comedy, Family, Drama",755339,"After taking a very nasty fall on Christmas Eve, grinchy Jorge blacks out and wakes up one year later, with no memory of the year that has passed. He soon realizes that he’s doomed to keep waking up on Christmas Eve after Christmas Eve, having to deal with the aftermath of what his other self has done the other 364 days of the year.","2020"
"The Christmas Chronicles","Comedy, Adventure, Family, Fantasy",527435,"Siblings Kate and Teddy try to prove Santa Claus is real, but when they accidentally cause his sleigh to crash, they have to save Christmas.","2018"
"Ice Age: A Mammoth Christmas","Animation, Family, TV Movie",79218,"When Sid accidentally destroys Manny's heirloom Christmas rock and ends up on Santa's naughty list, he leads a hilarious quest to the North Pole to make things right and ends up making things much worse. Now it's up to Manny and his prehistoric posse to band together and save Christmas for the entire world!","2011"
"Picture Perfect Royal Christmas","Romance, Comedy, Drama, TV Movie",655466,"Amanda is the assistant to a famous photographer. Her boss receives an invitation to photograph the Christmas festivities in the kingdom of Pantrea and Amanda goes posing as her. She will soon fall for Prince Leopold, despite not being a royalty.","2019"
"The Legend of the Christmas Witch: The Origins","Family, Fantasy, Comedy",811050,"18th century. Paola, a young, reckless street urchin inadvertently gets in the way of the plans of terrifying Baron De Michelis, a small and mean hunchback always escorted by his trusted (and abused) minion Marmotta, with an unquenchable thirst for power and an unmeasurable hate for witches. The intervention of the sweet and powerful Dolores, a good witch who has devoted her life to children, saves Paola from being burned at the stake. Through a magical apprenticeship, breakneck pursuits, incredible transformations and a whole lot of trouble, Paola will discover that fate has something really special in store for her… And so the legend begins.","2021"
"Rare Exports: A Christmas Tale","Fantasy, Horror",48395,"Young Pietari lives with his reindeer-herding father in arctic Finland. On the eve of Christmas, a nearby excavation makes a frightening discovery and an evil Santa Claus is unleashed…","2010"
"A Nanny for Christmas","Comedy, Family, TV Movie",50652,"Ally (Emmanuelle Vaugier) is a smart young career woman who needs a new job. Samantha (Cynthia Gibb) is a busy Beverly Hills advertising executive/mom whose too-well-mannered kids need some fun in their lives. And Danny Donner (Dean Cain) is the tough-guy owner of a chocolate company who wants a major ad campaign immediately. Could it all somehow lead to the Christmas that changes everyone's lives forever? Richard Ruccolo, Sierra McCormick, Jared Gilmore and Sarah Thompson co-star in this surprising comedy about little white lies, big holiday wishes, and a woman who may just find love in the most unexpected places by becoming A NANNY FOR CHRISTMAS.","2010"
"How the Grinch Stole Christmas!","Animation, Family, Comedy",13377,"Bitter and hateful, the Grinch is irritated at the thought of a nearby village having a happy time celebrating Christmas. Disguised as Santa Claus, with his dog made to look like a reindeer, he decides to raid the village to steal all the Christmas things.","1966"
"Mickey's Once Upon a Christmas","Animation, Family, Comedy",15400,"Mickey, Minnie, and their famous friends Goofy, Donald, Daisy and Pluto gather together to reminisce about the love, magic and surprises in three wonder-filled stories of Christmas past.","1999"
"How the Gringo Stole Christmas","Comedy",1201640,"Bennie's daughter is on her way home for the holidays. However she surprises him by arriving with her brand new boyfriend - an uninvited gringo.","2023"
"Last Christmas","Comedy, Romance",549053,"Kate is a young woman who has a habit of making bad decisions, and her last date with disaster occurs after she accepts work as Santa's elf for a department store. However, after she meets Tom there, her life takes a new turn.","2019"
"Christmas with the Kranks","Comedy, Family",13673,"When their only daughter Blair leaves the family nest, Luther and Nora Krank decide to book an island cruise to beat the yuletide blues and just skip the holidays. But their decision to boycott tradition has the whole neighborhood in an uproar, and when Blair calls on Christmas Eve to announce a surprise visit with her new fiancée, the Kranks have just twelve hours to perform a miracle and pull themselves and their neighbors together to throw the best celebration ever!","2004"
"Ejnar's Christmas: 10th Anniversary Edition","Animation, Adventure, Fantasy",1214399,"Born the only child with genuine feelings in a world of apathy, Ejnar is called by an ancient spirit to fulfill a destiny.","2023"
"Merry Christmas","Comedy",43557,"Four Italian men are suddenly involved in awkward situations, while they are spending the Christmas holiday, stuck in Amsterdam.","2001"
"A Merry Scottish Christmas","TV Movie, Comedy, Romance",1145635,"When estranged siblings Lindsay and Brad travel to Scotland at Christmas to reunite with their mother Jo, a big family secret is revealed.","2023"
"A Not So Merry Christmas","Comedy, Family",1053419,"A curse is placed on grinchy Chuy, who wakes up to find he's lived a full year, but is doomed to remember only Christmas Day. Every year. From now on.","2022"
"Christmas in Canaan","Family, Drama, TV Movie",144253,"Set in the 1960s, Christmas in Canaan is a drama about a black family and a white family that learn to love each other out of their Christian beliefs.","2009"
"Christmas Full of Grace","Romance, Comedy",1042984,"After discovering a betrayal, Carlinhos takes a fun stranger to accompany him on Christmas. But Graça proves to be a madwoman capable of bringing the traditional family home down.","2022"
"A Boy Called Christmas","Family, Adventure, Fantasy",615666,"An ordinary young boy called Nikolas sets out on an extraordinary adventure into the snowy north in search of his father who is on a quest to discover the fabled village of the elves, Elfhelm. Taking with him a headstrong reindeer called Blitzen and a loyal pet mouse, Nikolas soon meets his destiny in this magical and endearing story that proves nothing is impossible…","2021"
"Christmas ...Again?!","Family, Comedy, Fantasy, TV Movie",762879,"Rowena ""Ro"" is a high-spirited 11-year-old hoping to add more spunk to her Christmas celebrations when her parents’ divorce is going anything but smoothly.","2021"
"Jingle Jangle: A Christmas Journey","Family, Fantasy, Music",622855,"An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever.","2020"
"Christmas on Cherry Lane","TV Movie, Comedy, Romance, Drama",1180665,"Three couples at different parts of life navigate big turning points in their lives over the holidays.","2023"
"Planes, Trains, and Christmas Trees","TV Movie, Comedy, Romance, Family",988428,"During a business trip, event planner Kayley and sports agent Brett find themselves unable to fly home for Christmas due to a snowstorm. Determined to get back to NYC by Christmas Eve, the two team up and try to make their own way home.","2022"
"Bob the Builder: A Christmas to Remember - The Movie","Animation, Family",28694,"Near Christmas, Robert ""Bob The Builder"" McGraw Jr. and his machine team gang of talking construction vehicles are preparing for the Winter Christmas Holiday celebration season. Bob's twin brother Thomas ""Tom The Zoologist"" McGraw (who lives in the Arctic Circle near the North Pole) is coming for Christmas, Spud The Scarecrow is trying to be good to get presents and a big Christmas concert is coming up with the rock band Lenny Lazenby and the Lasers (including Elton John). but unfortunately, a huge ULTIMATE DISASTER has happened with the Christmas tree and the town hall has nearly smashed to SMITHEREENS!!. will the concert work out? will Tom get there for Christmas? will Spud be on the nice list? will the tree and the town hall be alright??? find out these answers, in ""A CHRISTMAS TO REMEMBER"".","2001"
"Hannah Waddingham: Home for Christmas","Music",1192548,"Ring in the holidays with Emmy-winning star Hannah Waddingham as she welcomes special guests for a musical extravaganza at the London Coliseum.","2023"
"Barbie: A Perfect Christmas","Animation, Family",77499,"Join Barbie and her sisters Skipper, Stacie and Chelsea as their holiday vacation plans turn into a most unexpected adventure and heartwarming lesson. After a snowstorm diverts their plane, the girls find themselves far from their New York destination and their holiday dreams. Now stranded at a remote inn in the tiny town of Tannenbaum, the sisters are welcomed by new friends and magical experiences. In appreciation for the wonderful hospitality they receive, they use their musical talents to put on a performance for the whole town. Barbie and her sisters realize the joy of being together is what really makes A Perfect Christmas!","2011"
"The Christmas Retreat","TV Movie, Romance, Comedy",1003485,"When Kim's boyfriend breaks up with her instead of proposing, Kim's mom takes her away to a Christmas Retreat to reconnect with the spirit of the holiday. There she meets newly unemployed Mark.","2022"
"Christmas Story","Fantasy, Family",21501,"Hundreds of years ago in Lapland, a little boy named Nikolas loses his family in an accident. The villagers decide to look after the orphaned boy together. Once a year - at Christmas - Nikolas moves to a new home. To show his gratitude, Nikolas decides to make toys for the children of the families as good-bye presents. Over the years, Nikolas's former adoptive families become many, and soon almost every house has presents on its doorstep on Christmas morning. At thirteen, Nikolas is sent to live and work with Iisakki, a grumpy old carpenter, who forbids Nikolas to continue making presents for Christmas. Gradually, however, Nikolas wins Iisakki's trust. Together they begin to look after the Christmas traditional that Nikolas has begun. When the aged Iisakki has to leave Nikolas and move away, the tradition of Christmas presents is once again at risk. Thankfully, Nikolas comes up with a solution that brings children joy every Christmas, even continuing to today.","2007"
"A Christmas Snow","Family, Fantasy, Drama",124601,"For Kathleen, Christmas has always been an unwelcome reminder of her father’s abandonment almost 30 years ago. Although she has tried to forget her past, it has not forgotten her. In the days leading up to Christmas un unforgiving blizzard traps her in her own home with two unlikely roommates.  Same, a gentle older man Kathleen took in for the night and Lucy, the daughter of her soon to be fiancé bring her face to face with the hurts of her past.  Will she be able to let go and grab hold of a life-changing forgiveness or will she continue to be haunted by the pain of the past?","2010"
"Beauty and the Beast: The Enchanted Christmas","Animation, Family, Fantasy",13313,"Astonished to find the Beast has a deep-seeded hatred for the Christmas season, Belle endeavors to change his mind on the matter.","1997"
"I'm Glad It's Christmas","TV Movie, Comedy, Romance, Drama",1022685,"An aspiring Broadway singer is convinced to participate in a small-scale production for her local Christmas celebration. Along the way, she finds hope and unexpected mentorship towards her dream career. But will her professional success come at the cost of her chance at love?","2022"
"A Christmas Tree Miracle","Family, Drama",233481,"“A Christmas Tree Miracle” is a warm-hearted tale that reminds us that in the holiday season, the best gifts in life are the simple ones, and that miracles do happen, if you believe.","2013"
"Christmas on Windmill Way","TV Movie, Comedy, Romance",1150521,"Mia Meijer gets ready for the Christmas Market Dutch Bake-Off and suspects that her grandmother, Ann, will walk away with the cherished Golden Rolling Pin thanks to her Kerststol, a traditional Dutch fruited Christmas bread. But Mia's world is rocked when she learns that Ann was having financial troubles and had to sell the land deed to the Windmill Way property in her family for generations. Making matters worse, the buyer is Mia's former boyfriend, property developer Brady Schaltz, who must let Mia and Ann know the Meijer family-owned heritage Dutch sawmill, renowned for the past 90 years for its fine millwork and beautiful wooden furniture, will be torn down to put up a luxurious resort.","2023"
"A Christmas Wedding","Comedy, Family, Romance, TV Movie",42559,"Emily (Sarah Paulson) and Ben (Eric Mabius) find their plans to marry on Christmas day coming apart at the seams when Ben is left to plan the wedding details after Emily is forced to go on a business trip. Though Emily, a perfectionist, is determined to have a fairytale wedding, she realizes that love is all that really matters when a freak storm threatens to keep her from making it home in time for the big day.","2006"
"A Christmas for the Ages","TV Movie, Comedy, Drama, Romance",1132182,"Prompted by their youngest granddaughter, four generations celebrate family and what Christmas was like in the '40s, '60s, '90s, and present day.","2023"
"Christmas & Co.","Comedy",451500,"Christmas is on its way and with it disaster. The 92,000 responsible for manufacturing children's toys all become sick at the same time! It's a tough moment for Santa, better known as Father Christmas. He's left no choice: he must make an emergency trip to Earth with his reindeer to search for a remedy. When he arrives, he must find some allies to save the magic of Christmas.","2017"
"1000 Miles From Christmas","Comedy, Romance, Family",852590,"An auditor who completely despises Christmas is sent to a small town for work, where he meets a woman determined to change his view about the holiday.","2021"
"Christmas in August","Drama, Romance",26935,"It's a sweltering summer, but Jung-won, a terminally ill, thirty-something photographer, is already in the winter of his life when he begins a tentative romance with a young traffic cop who doesn't know about his condition. Is their relationship doomed before it even begins?","1998"
"Christmas in Scotland","TV Movie, Romance, Comedy, Drama",1152738,"On vacation in Scotland, a New York installation designer finds herself tasked with helping a small, rural community create a festive light display and compete in a ‘Best Christmas Village’ festival, despite the interventions of a wealthy, influential heir who sees Christmas as an inconvenience. Forced to work together, the decorator and the heir unite to bring seasonal magic to the entire community, making both realize they wish to spend next and every Christmas together.","2023"
"A Royal Date for Christmas","TV Movie, Comedy, Romance",1142780,"Bella Sparks, owner of Bella’s Boutique, takes on a demanding new client named Stefan, who needs to be outfitted for a week of high-stakes meetings and events after his luggage goes missing. Imagine Bella’s reaction when she accidentally discovers Stefan is actually Stefan William Francis Brown, the Duke of Tangford.","2023"
"Black Christmas","Horror, Mystery",16938,"During their Christmas break, a group of sorority girls are stalked by a stranger who leaves them threatening phone calls.","1974"
"Falling for Christmas","Romance, Comedy, Family",833097,"An engaged, spoiled hotel heiress finds herself in the care of a handsome, blue-collar lodge owner and his precocious daughter after getting amnesia in a skiing accident.","2022"
"A Christmas Reunion","Comedy, TV Movie, Family, Romance",369061,"A Madison Avenue executive, Amy, discovers an unusual Christmas surprise when she inherits her Aunt’s hometown bakery. The real surprise comes when she learns the other half of the bakery was left to her long-ago boyfriend, Jack. Unresolved personal issues resurface between them, as the exes return home to co-manage the store, along with its traditional holiday cookie bake-off.","2015"
"Animal Crossing Christmas Festival: The Movie!","Animation, Family, Adventure",1110990,"When a confident 14-year old boy named Evan moves into a new town, he struggles to find any hope of the Christmas experience he had been waiting to move for, after working with Tom Nook at Nook's Cranny, he and his friends Bob and Goldie set off to find out a way to bring joy to their village by going into the city, and with the help of his friends, he and the rest of the village have an amazing Toy Day Christmas. After the Christmas celebration comes the Christmas Festival, aka. The Winter Festival.","2023"
"A Christmas Tale","Comedy, Drama",8892,"When their regal matriarch falls ill, the troubled Vuillard family come together for a hesitant Christmastime reunion. Among them is rebellious ne'er-do-well Henri and the uptight Elizabeth. Together under the same roof for the first time in many years, their intricate, long denied resentments and yearnings emerge again.","2008"
"Four Christmases","Comedy, Romance, Drama",12193,"Brad and Kate have made something of an art form out of avoiding their families during the holidays, but this year their foolproof plan is about go bust -- big time. Stuck at the city airport after all departing flights are canceled, the couple is embarrassed to see their ruse exposed to the world by an overzealous television reporter. Now, Brad and Kate are left with precious little choice other than to swallow their pride and suffer the rounds.","2008"
"A Not So Royal Christmas","TV Movie, Comedy, Romance",1180747,"When tabloid journalist Charlotte requests an interview with a famously private Count — not knowing he fled town years ago — the royal family convinces their groundskeeper to pose as him.","2023"
"Royally Yours, This Christmas","TV Movie, Comedy, Romance",1053725,"It's Christmastime in buzzing Manhattan. Single mother and luxury hotel housekeeper Neve Collins never meant to deceive guest of honor James Winter, the Prince of Genova, when he mistakes her for a wealthy hotel guest. Sparks soon fly as the unlikely couple get to know each other on a royal tour of the city, but when a jealous Lady uncovers Neve’s true identity, Neve stands to lose her job, her reputation and the love of her life…","2023"
"The Muppet Christmas Carol","Music, Comedy, Family, Fantasy, Drama",10437,"A retelling of the classic Dickens tale of Ebenezer Scrooge, miser extraordinaire. He is held accountable for his dastardly ways during night-time visitations by the Ghosts of Christmas Past, Present and Future.","1992"
"Christmas Crossfire","Comedy, Crime, Thriller",765123,"A man foils an attempted murder, then flees the crew of would-be killers along with their intended target as a woman he's just met tries to find him.","2020"
"Scrooge: A Christmas Carol","Animation, Family, Fantasy",1001865,"On a cold Christmas Eve, selfish miser Ebenezer Scrooge has one night left to face his past — and change the future — before time runs out.","2022"
"A Cinderella Story: Christmas Wish","Comedy, Music, Romance, Fantasy",606117,"Kat is an aspiring singer-songwriter who dreams of making it big. However, her dreams are stalled by her reality: a conniving and cruel stepfamily  and a demoralizing job working as a singing elf at billionaire Terrence Wintergarden’s Santa Land.","2019"
"Christmas at the Drive-In","TV Movie, Comedy, Romance",1026941,"Sadie Walker is starting over in her hometown of Chesterfield, New York, following a series of major life disruptions that include leaving her law practice after losing her biggest case and no longer being engaged.","2022"
"Christmas at the Holly Day Inn","Comedy, Drama, Romance",1056182,"An overachieving executive quits her job just before Christmas and goes to her father's country inn to try to find some balance again.","2023"
"Your Christmas or Mine?","Romance, Comedy",865559,"Students Hayley and James are young and in love. After saying goodbye for Christmas at a London train station, they both make the same mad split-second decision to swap trains and surprise each other. Passing each other in the station, they are completely unaware that they have just swapped Christmases.","2022"
"A Christmas Story","Comedy, Family",850,"The comic mishaps and adventures of a young boy named Ralph, trying to convince his parents, teachers, and Santa that a Red Ryder B.B. gun really is the perfect Christmas gift for the 1940s.","1983"
"Journey to the Christmas Star","Fantasy, Adventure, Family",149427,"13 year old kind-hearted Sonja arrives at a tiny village together with a company of bandits. But there is a curse on the village. A long time ago, the King’s only daughter Goldhair disappeared while searching for the Christmas Star. The Queen died of a broken heart, leaving the shattered King all on his own. From that day on, the King cursed the Christmas Star, thereby causing darkness and grief to descend upon the land. However, an old sage has revealed that Goldhair is still alive, and will return only if the King finds the way back to the Christmas Star. Ever since, the King has been searching for the Christmas Star every Christmas, but all in vain.","2012"
"Ladies of the '80s: A Divas Christmas","TV Movie, Comedy, Drama, Family, Romance",1187005,"Five soap opera divas as they reunite to shoot the final Christmas episode of their long-running sudser. The producer, Alex and director Nell, who happen to be old college friends, do their best to keep things on the rails but as the ladies come together, old rivalries resurface that threaten to tear the production apart.","2023"
"A Flintstones Christmas Carol","Animation, Comedy, Family, TV Movie",48874,"Fred is cast as Ebenezer Scrooge in a stage adaption of the classic Christmas story, but is acting a bit stingy in real life.","1994"
"Christmas Dinner","Romance, Comedy",419502,"In Polignano a Mare, covered in snow, they are more nervous than usual. Hysterics, anxiousness, pregnancy tests, lost rings and stuck lifts - what else can happen?","2016"
"Christmas with the Tuches","Comedy",613335,"After having resigned from his post as President of the Republic, Jeff and his family are happy to be back in their village of Bouzolles. As the end of the year holidays approach, Cathy asks for a unique gift: to reconnect with her sister Maguy, and her husband Jean-Yves, with whom Jeff has been angry for 10 years. The reconciliation could have gone smoothly, except that during a lunch, Jeff and Jean-Yves, will once again find a subject of contention: CHRISTMAS. This family feud, which should never have left Bouzolles, will turn into a standoff between Jeff and a giant of Internet distribution.","2021"
"The Night Before Christmas","Animation",53929,"A narrator sings the opening stanzas of the classic poem while we see the house at rest. Santa lands on the roof, comes down the chimney, and opens his bag. The toys march out and decorate the tree, with the toy soldiers shooting balls from their cannon, a toy airplane stringing a garland like skywriting, and the toy firemen applying snow. A blimp delivers the star to the top. Meanwhile, Santa fills the stockings. His laughter awakens the children, who sneak out. The toys rush to their places, and Santa escapes up the chimney just in time.","1933"
"Christmas at the Amish Bakery","TV Movie, Drama, Romance",1132191,"After leaving her Amish community in her youth, a New York book editor finds herself in desperate need of a new cookbook to save her job. With Christmas on the horizon Sarah heads back to her family farm to reconnect. But with the presence of a handsome local—an outsider, but one that is friendly with the Amish community—he and Sarah sense chemistry and work together to save her family’s Amish bakery (developing an Amish Christmas Cookbook in the process).","2023"
"Prancer: A Christmas Tale","Family, Fantasy",1047431,"Ten-year-old Gloria and her recently widowed grandfather Bud befriend a mysterious reindeer when the family gather for Christmas. Bud comes to believe that Prancer may actually be magical, but Gloria fears his theory will send him straight to a retirement home.","2022"
"5 Star Christmas","Comedy",563766,"When the Italian Premier and his companion find a dead body in his hotel suite, while on a trip to Hungary, they find themselves embroiled in a series of comedic situations as they try to avoid a scandal.","2018"
"Christmas in Notting Hill","TV Movie, Comedy, Romance",1142710,"Football star, Graham Savoy, has always been too busy for love, but when he comes home to Notting Hill for Christmas, he changes his mind after meeting the one person who has no idea who he is.","2023"
"Lost Christmas","Drama",81182,"An Urban Fairy Tale set in Manchester. A story of how a series of tragic events, that blight a young boy's life on Christmas Eve, take him on a journey where a chance meeting with a mysterious stranger may have the key to help and give him a perfect Christmas.","2011"
"8-Bit Christmas","Family, Comedy, Fantasy",802217,"In suburban Chicago during the late 1980s, ten-year-old Jake Doyle embarks on a herculean quest to get the latest and greatest video game system for Christmas.","2021"
"Santa Swap: Merry Christmas Mr. Andersen","Family, Comedy",422791,"Carpenter Andersen and Santa Claus makes a deal which saves Christmas for them both.","2016"
"Christmas with a Kiss","TV Movie, Comedy, Drama, Romance",1180746,"This Mahogany film follows a woman who returns home for her family’s Christmas Carnival, unexpectedly meeting a photo journalist.","2023"
